Data,Miniera,Tonnellate_giornaliere,Latitudine,Longitudine,Consumo_Energia_kWh,Emissioni_CO2_kg,%_Rame,Costo_Lavoro,Costo_Macchinari,Costo_Energia,Incidenti,Ore_Senza_Incidenti,Temperatura_C,Giorni_senza_incidenti_consecutivi
01/01/2024,Miniera 1,15.04,67.9061,20.9575,8044198.17,241325.95,8.47,109289.62,25816.64,965303.78,0,24,-23.08447294094306,1
02/01/2024,Miniera 1,178.11,67.9061,20.9575,11445352.21,343360.57,7.6,109289.62,25774.27,1373442.27,0,48,-20.532316908787806,2
03/01/2024,Miniera 1,115.39,67.9061,20.9575,8132837.89,243985.14,7.02,109289.62,28384.77,975940.55,0,72,-9.501840337183493,3
04/01/2024,Miniera 1,196.01,67.9061,20.9575,15694834.15,470845.02,9.03,109289.62,17914.42,1883380.1,0,96,-10.930443601682624,4
05/01/2024,Miniera 1,69.93,67.9061,20.9575,8560154.76,256804.64,8.86,109289.62,26466.97,1027218.57,0,120,-12.439542861547476,5
06/01/2024,Miniera 1,106.59,67.9061,20.9575,8890631.64,266718.95,6.98,109289.62,16525.47,1066875.8,0,144,-24.55060223854715,6
07/01/2024,Miniera 1,169.42,67.9061,20.9575,10227050.65,306811.52,9.76,109289.62,19882.53,1227246.08,0,168,-3.249854595603324,7
08/01/2024,Miniera 1,225.69,67.9061,20.9575,17557564.04,526726.92,7.6,109289.62,27764.72,2106907.68,0,192,-21.837213352954098,8
09/01/2024,Miniera 1,183.84,67.9061,20.9575,19932173.18,597965.2,5.95,109289.62,17887.84,2391860.78,0,216,-21.113469053936388,9
10/01/2024,Miniera 1,185.13,67.9061,20.9575,13532450.12,405973.5,6.13,109289.62,28145.01,1623894.01,0,240,-14.564778580689303,10
11/01/2024,Miniera 1,180.0,67.9061,20.9575,12460436.66,373813.1,5.47,109289.62,28415.83,1495252.4,0,264,-10.061533461389715,11
12/01/2024,Miniera 1,104.58,67.9061,20.9575,8749083.38,262472.5,7.63,109289.62,24855.23,1049890.01,0,288,-3.216969606941948,12
13/01/2024,Miniera 1,171.81,67.9061,20.9575,9904881.87,297146.46,6.87,109289.62,17364.56,1188585.82,0,312,-18.363785740984387,13
14/01/2024,Miniera 1,129.54,67.9061,20.9575,5017923.26,150537.7,5.72,109289.62,28084.66,602150.79,0,336,-1.2831132588331293,14
15/01/2024,Miniera 1,220.94,67.9061,20.9575,14599028.96,437970.87,6.12,109289.62,16781.27,1751883.48,0,360,-21.91063692659982,15
16/01/2024,Miniera 1,18.88,67.9061,20.9575,4757595.28,142727.86,5.89,109289.62,28553.54,570911.43,0,384,-6.371016560799294,16
